Company Name,Job Title,Location,Skills,Job Type,Salary,Experience,Job Link
In-Office,Amazon,Software Development Engineer,"['Bengaluru', 'Java']",C/C++,Job Offer,Rs. 15 LPA - Rs. 30 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,ANZ,Software Engineer,['Bengaluru'],Python/Java/C++,Job Offer,Rs. 6 LPA - Rs. 9 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Ericsson,Software Development Engineer I,"['Bangalore', 'JavaScript', 'HTML']",CSS,Job Offer,Rs. 6 LPA - Rs. 10 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Razorpay,Application Support Engineer,"['Bengaluru', 'Java/C++/Python/Go']",HTML/CSS/JS/React,Job Offer,Rs. 5 LPA - Rs. 8 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Conduent,Technical Business Analysis Engineer I,['Noida'],Software Engineering,Job Offer,Rs. 4.5 LPA - Rs. 6.5 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,ClearFeed,Software Engineer,"['Bangalore', 'Python']",MySQL,Job Offer,Rs. 10 LPA - Rs. 15 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,AON,Analyst,['Gurgaon'],SQL,Job Offer,Rs. 6 LPA - Rs. 10 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,PhonePe,Business Intelligence Engineer,"['Bengaluru', 'Python']",SQL,Job Offer,Rs. 12 LPA - Rs. 18 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Anakin,Software Development Engineer,"['Bangalore', 'HTML', 'CSS']",Python/Java,Job Offer,Rs. 10 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
Hybrid,Eightfold,Software Engineer,"['Bangalore, Noida', 'Python', 'ReactJS']",MySQL,Job Offer,Rs. 12 LPA - Rs. 20 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Upland,Software Engineer I,"['Bangalore', 'PHP']",SQL,Job Offer,Rs. 8 LPA - Rs. 14 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Lenovo,Software Engineer,"['Bangalore', 'AWS', 'SQL']",Python/Java/C++,Job Offer,7 LPA - 15 LPA,https://cuvette.tech/app/dashboard/other-jobs
Remote,Turing,Remote Fullstack Specialist,['Remote'],Full Stack Development,Job Offer,Rs. 6 LPA - Rs. 10 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Birlasoft,Technical Specialist-App Development,['Hyderabad'],Application Development,Job Offer,Rs. 3.5 LPA - Rs. 5.5 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Qualcomm,Associate Engineer,"['Hyderabad', 'C', 'C++', 'Java', 'Python']",SQL,Job Offer,Rs. 11 LPA - Rs. 15 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Oracle,Software Engineer,"['Hyderabad', 'Javascript', 'HTML']",CSS,Job Offer,Rs. 7 LPA - Rs. 12 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Gameberry Labs,Software Development Engineer I - Java/Python,"['Bangalore', 'Java', 'C++']",Python,Job Offer,Rs. 15 LPA - Rs. 25 LPA,https://cuvette.tech/app/dashboard/other-jobs
In-Office,Accenture,Web Developer Associate,"['Mumbai', 'HTML']",CSS,Job Offer,Rs. 4 LPA - Rs. 6 LPA,https://cuvette.tech/app/dashboard/other-jobs
