Job,LLAMA,Gemini
"{'Company Name': 'Superset', 'Job Title': 'Software Developer I', 'Location': 'Bangalore', 'Skills': ""['Python', 'Javascript', 'MySQL']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 8 LPA - Rs. 15 LPA', 'Experience': 'Year of experience - 1 - 3 Years'}","{'job_title': 'Software Developer I', 'job_link': None, 'company_name': 'Superset', 'experience': '1 - 3 Years', 'salary': 'Rs. 8 LPA - Rs. 15 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['Python', 'Javascript', 'MySQL']}","{'job title': 'Software Developer I', 'job link': None, 'company name': 'Superset', 'experience': '1 - 3 Years', 'salary': 'Rs. 8 LPA - Rs. 15 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['Python', 'Javascript', 'MySQL']}"
"{'Company Name': 'meesho', 'Job Title': 'Software Development Engineer I (iOS)', 'Location': 'Bangalore', 'Skills': ""['iOS Development', 'Swift']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 15 LPA - Rs. 30 LPA', 'Experience': 'Year of experience - 0 - 1 Years'}","{'job_title': 'Software Development Engineer I (iOS)', 'job_link': None, 'company_name': 'meesho', 'experience': '0 - 1 Years', 'salary': 'Rs. 15 LPA - Rs. 30 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['iOS Development', 'Swift']}","{'job title': 'Software Development Engineer I (iOS)', 'job link': None, 'company name': 'meesho', 'experience': '0 - 1 Years', 'salary': 'Rs. 15 LPA - Rs. 30 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['iOS Development', 'Swift']}"
"{'Company Name': 'MoEngage', 'Job Title': 'Software Engineer (Backend)', 'Location': 'Bengaluru', 'Skills': ""['Python/Java/C++']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 8 LPA - Rs. 15 LPA', 'Experience': 'Year of experience - 0 - 3 Years'}","{'job_title': 'Software Engineer (Backend)', 'job_link': None, 'company_name': 'MoEngage', 'experience': '0 - 3 Years', 'salary': 'Rs. 8 LPA - Rs. 15 LPA', 'location': 'Bengaluru', 'job_description': None, 'skills': ['Python', 'Java', 'C++']}","{'job title': 'Software Engineer (Backend)', 'job link': None, 'company name': 'MoEngage', 'experience': '0 - 3 Years', 'salary': 'Rs. 8 LPA - Rs. 15 LPA', 'location': 'Bengaluru', 'job description': None, 'skills': ['Python', 'Java', 'C++']}"
"{'Company Name': 'Razorpay', 'Job Title': 'Product Support Engineer', 'Location': 'Bangalore', 'Skills': ""['Python', 'MySQL']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 5 LPA - Rs. 8 LPA', 'Experience': 'Year of experience - Fresher'}","{'job_title': 'Product Support Engineer', 'job_link': None, 'company_name': 'Razorpay', 'experience': 'Fresher', 'salary': 'Rs. 5 LPA - Rs. 8 LPA', 'location': 'Bangalore', 'job_description': None, 'skills': ['Python', 'MySQL']}","{'job title': 'Product Support Engineer', 'job link': None, 'company name': 'Razorpay', 'experience': 'Fresher', 'salary': 'Rs. 5 LPA - Rs. 8 LPA', 'location': 'Bangalore', 'job description': None, 'skills': ['Python', 'MySQL']}"
"{'Company Name': 'Turing', 'Job Title': 'Remote Fullstack Specialist', 'Location': 'Remote', 'Skills': ""['Full Stack Development']"", 'Job Type': 'Remote', 'Salary': 'Rs. 6 LPA - Rs. 10 LPA', 'Experience': 'Year of experience - Fresher'}","{'job_title': 'Remote Fullstack Specialist', 'job_link': None, 'company_name': 'Turing', 'experience': 'Fresher', 'salary': 'Rs. 6 LPA - Rs. 10 LPA', 'location': 'Remote', 'job_description': None, 'skills': ['Full Stack Development']}","{'job title': 'Remote Fullstack Specialist', 'job link': None, 'company name': 'Turing', 'experience': 'Fresher', 'salary': 'Rs. 6 LPA - Rs. 10 LPA', 'location': 'Remote', 'job description': None, 'skills': ['Full Stack Development']}"
"{'Company Name': 'Adani AI Labs', 'Job Title': 'Frontend Developer', 'Location': 'Kolkata', 'Skills': ""['HTML', 'CSS', 'Javascript']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 4 LPA - Rs. 6.5 LPA', 'Experience': 'Year of experience - Fresher'}","{'job_title': 'Frontend Developer', 'job_link': None, 'company_name': 'Adani AI Labs', 'experience': 'Fresher', 'salary': 'Rs. 4 LPA - Rs. 6.5 LPA', 'location': 'Kolkata', 'job_description': None, 'skills': ['HTML', 'CSS', 'Javascript']}","{'job title': 'Frontend Developer', 'job link': None, 'company name': 'Adani AI Labs', 'experience': 'Fresher', 'salary': 'Rs. 4 LPA - Rs. 6.5 LPA', 'location': 'Kolkata', 'job description': None, 'skills': ['HTML', 'CSS', 'Javascript']}"
"{'Company Name': 'PayU', 'Job Title': 'Associate Software Engineer', 'Location': 'Gurgaon', 'Skills': ""['Python', 'HTML', 'CSS', 'JavaScript', 'SQL']"", 'Job Type': 'Hybrid', 'Salary': 'Rs. 6 LPA - 8 LPA', 'Experience': 'Year of experience - 0 - 2 Years'}","{'job_title': 'Associate Software Engineer', 'job_link': None, 'company_name': 'PayU', 'experience': '0 - 2 Years', 'salary': 'Rs. 6 LPA - 8 LPA', 'location': 'Gurgaon', 'job_description': None, 'skills': ['Python', 'HTML', 'CSS', 'JavaScript', 'SQL']}","{'job title': 'Associate Software Engineer', 'job link': None, 'company name': 'PayU', 'experience': '0 - 2 Years', 'salary': 'Rs. 6 LPA - 8 LPA', 'location': 'Gurgaon', 'job description': None, 'skills': ['Python', 'HTML', 'CSS', 'JavaScript', 'SQL']}"
"{'Company Name': 'American Express', 'Job Title': 'Engineer', 'Location': 'Gurgaon', 'Skills': ""['Python', 'HTML', 'CSS']"", 'Job Type': 'Hybrid', 'Salary': 'Rs. 6 LPA - Rs. 10 LPA', 'Experience': 'Year of experience - Fresher'}","{'job_title': 'Engineer', 'job_link': None, 'company_name': 'American Express', 'experience': 'Fresher', 'salary': 'Rs. 6 LPA - Rs. 10 LPA', 'location': 'Gurgaon', 'job_description': None, 'skills': ['Python', 'HTML', 'CSS']}","{'job title': 'Engineer', 'job link': None, 'company name': 'American Express', 'experience': 'Fresher', 'salary': 'Rs. 6 LPA - Rs. 10 LPA', 'location': 'Gurgaon', 'job description': None, 'skills': ['Python', 'HTML', 'CSS']}"
"{'Company Name': 'ZS', 'Job Title': 'Software Engineer - .Net', 'Location': 'Pune', 'Skills': ""['.Net', 'Software Engineering']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 6 LPA - Rs. 10 LPA', 'Experience': 'Year of experience - 0 - 3 Years'}","{'job_title': 'Software Engineer - .Net', 'job_link': None, 'company_name': 'ZS', 'experience': '0 - 3 Years', 'salary': 'Rs. 6 LPA - Rs. 10 LPA', 'location': 'Pune', 'job_description': None, 'skills': ['.Net', 'Software Engineering']}","{'job title': 'Software Engineer - .Net', 'job link': None, 'company name': 'ZS', 'experience': '0 - 3 Years', 'salary': 'Rs. 6 LPA - Rs. 10 LPA', 'location': 'Pune', 'job description': None, 'skills': ['.Net', 'Software Engineering']}"
"{'Company Name': 'NetApp', 'Job Title': 'Software Engineer', 'Location': 'Bengaluru', 'Skills': ""['Python/Java/C++', 'SQL']"", 'Job Type': 'In-Office', 'Salary': 'Rs. 8 LPA - Rs. 12 LPA', 'Experience': 'Year of experience - Freshers'}","{'job_title': 'Software Engineer', 'job_link': None, 'company_name': 'NetApp', 'experience': 'Freshers', 'salary': 'Rs. 8 LPA - Rs. 12 LPA', 'location': 'Bengaluru', 'job_description': None, 'skills': ['Python/Java/C++', 'SQL']}","{'job title': 'Software Engineer', 'job link': None, 'company name': 'NetApp', 'experience': 'Year of experience - Freshers', 'salary': 'Rs. 8 LPA - Rs. 12 LPA', 'location': 'Bengaluru', 'job description': None, 'skills': ""['Python/Java/C++', 'SQL']""}"
